"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","displays security warning","Enable2FADialog","Mon Jan 26 22:00:27 UTC 2026","passed","Mon Jan 26 22:00:27 UTC 2026","","","",""
"Test cases for TestResources_ListADEntityDCOMRights","1","TestResources_ListADEntityDCOMRights","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADEntityDCOMRights","TestResources_ListADEntityDCOMRights"
"Test cases for TestResources_UpdateAssetGroupSelectors_SuccessOwned","0","TestResources_UpdateAssetGroupSelectors_SuccessOwned","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupSelectors_SuccessOwned","TestResources_UpdateAssetGroupSelectors_SuccessOwned"
"","0","handles specific Active Directory properties differently than Azure derived properties","Formatting number properties","Mon Jan 26 21:58:44 UTC 2026","passed","Mon Jan 26 21:58:44 UTC 2026","","","",""
"Test cases for TestManagementResource_ListAuthTokens_PredicateMismatchWithColumn","0","TestManagementResource_ListAuthTokens_PredicateMismatchWithColumn","","Mon Jan 26 21:57:25 UTC 2026","passed","Mon Jan 26 21:57:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_PredicateMismatchWithColumn","TestManagementResource_ListAuthTokens_PredicateMismatchWithColumn"
"Test cases for TestReadDomainIDandNameAsString","0","TestReadDomainIDandNameAsString","","Mon Jan 26 21:57:20 UTC 2026","passed","Mon Jan 26 21:57:20 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/internal/nodeprops/TestReadDomainIDandNameAsString","TestReadDomainIDandNameAsString"
"Test cases for TestMarshalFloat","0","TestMarshalFloat","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalFloat","TestMarshalFloat"
"Test cases for Test_ParseGraphSortParameters_InvalidSortColumn","0","Test_ParseGraphSortParameters_InvalidSortColumn","","Mon Jan 26 21:56:43 UTC 2026","passed","Mon Jan 26 21:56:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/Test_ParseGraphSortParameters_InvalidSortColumn","Test_ParseGraphSortParameters_InvalidSortColumn"
"Test cases for Test_UseHarness","0","Test_UseHarness","","Mon Jan 26 21:57:24 UTC 2026","passed","Mon Jan 26 21:57:24 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_UseHarness","Test_UseHarness"
"","130","calls onSort when clicked","ColumnHeaders","Mon Jan 26 22:00:47 UTC 2026","passed","Mon Jan 26 22:00:47 UTC 2026","","SortableHeader","",""
